time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
4,-0.8431552499999999,6.26,0.88,6058,2580,25640,0.001,0.20617214341958365,25546,2.3972935499235366e-05
4,-0.8408296,6.17,0.87,6072,2590,25697,0.001,0.22057466953992844,25607,2.0944948118994944e-05
4,-0.84301636,6.25,0.89,6088,2600,25764,0.001,0.22714722156524658,25670,1.7228048022843723e-05
4,-0.8449677200000001,6.16,0.87,6100,2610,25816,0.001,0.2139798402786255,25726,1.7452680670733873e-05
4,-0.84168449,6.16,0.87,6115,2620,25878,0.001,0.2197421838839849,25785,3.424810256547062e-05
4,-0.8324611900000001,6.18,0.88,6131,2630,25943,0.001,0.22161780510629928,25849,1.7091777928206803e-05
4,-0.8426417500000001,6.27,0.9,6146,2640,26008,0.001,0.2170945256948471,25910,2.173150945357823e-05
4,-0.8295396999999999,6.22,0.9,6162,2650,26074,0.001,0.22068451344966888,25980,2.6556558016939864e-05
4,-0.83432534,6.22,0.9,6177,2660,26137,0.001,0.22362015148003897,26044,7.469370999994378e-05
4,-0.8381281899999999,6.25,0.9,6193,2670,26203,0.001,0.2244836049420493,26110,2.8556942457466255e-05
4,-0.8417291100000002,6.28,0.89,6209,2680,26268,0.001,0.2201523780822754,26174,2.1038183755687594e-05
4,-0.8522256300000001,6.35,0.9,6224,2690,26332,0.001,0.22712217768033346,26240,2.2464199294821203e-05
4,-0.84446404,6.33,0.9,6240,2700,26397,0.001,0.20821145815508707,26303,2.4591206965851597e-05
4,-0.8535910800000001,6.55,0.93,6258,2710,26471,0.001,0.22006621211767197,26377,3.304060305708845e-05
4,-0.8543561599999999,6.55,0.93,6272,2720,26533,0.001,0.20538809895515442,26440,3.491060973222678e-05
4,-0.85251148,6.52,0.92,6287,2730,26595,0.001,0.22184879146516323,26505,1.8714735688263318e-05
4,-0.84513774,6.55,0.94,6304,2740,26663,0.001,0.2152477540075779,26569,1.981414106921875e-05
4,-0.84691068,6.51,0.93,6318,2750,26725,0.001,0.2245413362979889,26631,1.9183534429127274e-05
4,-0.8476439100000003,6.53,0.92,6334,2760,26790,0.001,0.21473480015993118,26696,1.8070815258397488e-05
4,-0.8490669099999998,6.51,0.91,6349,2770,26854,0.001,0.2286900920527322,26760,2.3854807035864462e-05
4,-0.85235911,6.53,0.93,6366,2780,26921,0.001,0.21565976490577063,26826,1.8707675129311003e-05
4,-0.8448322599999999,6.53,0.93,6381,2790,26985,0.001,0.21939509894166673,26892,3.6879095984789145e-05
