rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-0.7033076699999999,70950,17192,5.88,4,0.87,10980,0.1698962688446045,3.5740243038162586e-05,70843,0.001
-0.7057227,71012,17207,5.91,4,0.88,10990,0.1789112001657486,3.9401253889082e-05,70906,0.001
-0.7122909800000001,71068,17220,5.93,4,0.9,11000,0.17874138802289963,4.216692044186251e-05,70962,0.001
-0.70979129,71131,17236,5.97,4,0.91,11010,0.17285017243453435,4.0193202689157e-05,71025,0.001
-0.7152022900000001,71196,17252,5.99,4,0.92,11020,0.1813377682119608,4.279960080566525e-05,71090,0.001
-0.7147207600000001,71256,17266,6.02,4,0.93,11030,0.1883652742419924,3.534649918687397e-05,71150,0.001
-0.7324878400000001,71320,17282,6.19,4,0.96,11040,0.17615952449185507,4.297516066539434e-05,71214,0.001
-0.7300175500000001,71377,17296,6.14,4,0.95,11050,0.17776133971554892,5.7579287905744945e-05,71275,0.001
-0.73549438,71438,17311,6.12,4,0.93,11060,0.1680849939584732,4.012291901744902e-05,71332,0.001
-0.7081041899999999,71491,17323,5.94,4,0.91,11070,0.18124270141124726,4.157858493272215e-05,71384,0.001
-0.7114046799999998,71549,17338,5.99,4,0.92,11080,0.17308159420887628,4.131563218834344e-05,71442,0.001
-0.7021662299999999,71604,17351,5.92,4,0.91,11090,0.17571160495281218,4.101243757759221e-05,71499,0.001
-0.6966059899999999,71658,17364,5.9,4,0.9,11100,0.18363742530345917,5.182002278161235e-05,71556,0.001
-0.6921233499999999,71702,17375,5.71,4,0.85,11110,0.1787222002943357,4.471518271505678e-05,71600,0.001
-0.6898718799999999,71765,17390,5.69,4,0.85,11120,0.17901048809289932,5.9982022018327065e-05,71658,0.001
-0.6849959499999998,71819,17403,5.63,4,0.84,11130,0.17900882363319398,3.799739934038371e-05,71714,0.001
-0.6731339799999999,71868,17415,5.48,4,0.81,11140,0.17712544401486716,3.611902472281751e-05,71766,0.001
-0.6725545100000002,71916,17427,5.39,4,0.79,11150,0.18033142387866974,4.3775256926892325e-05,71810,0.001
-0.66637741,71972,17441,5.34,4,0.79,11160,0.17737435230187007,4.63475360967485e-05,71866,0.001
-0.67259106,72030,17455,5.39,4,0.8,11170,0.18392134457826614,3.288028892711736e-05,71924,0.001
-0.67537986,72091,17470,5.42,4,0.81,11180,0.17291606068611146,4.468197585083544e-05,71984,0.001
-0.68917718,72157,17486,5.53,4,0.82,11190,0.1829733614410673,3.807660219276191e-05,72050,0.001
-0.7032477600000001,72217,17500,5.59,4,0.83,11200,0.17760440707206726,3.0289679671113845e-05,72110,0.001
-0.71788901,72279,17516,5.77,4,0.87,11210,0.18180937426430838,3.418665385522347e-05,72172,0.001
-0.71521519,72339,17530,5.74,4,0.86,11220,0.1790730059146881,3.712042078924631e-05,72231,0.001
-0.7260809899999999,72405,17546,5.86,4,0.88,11230,0.17919927835464478,7.176545623224228e-05,72298,0.001
